id,Description,CatalogBrandId,Price
1001006,DWV PIPE 100MM 6M SN6(100.100.6),Plumbing Trade Supplies:DWV Pipe,29.99
100150516,DWV PIPE 150MM SN16 RRJ  6M(100.150.SN16.RRJ),Plumbing Trade Supplies:DWV Pipe,99999
1001506,DWV PIPE 150MM 6M(100.150.6),Plumbing Trade Supplies:DWV Pipe,89
100326,DWV PIPE 32MM X  6M(100.32.6),Plumbing Trade Supplies:DWV Pipe,14
100406,DWV PIPE 40MM 6M(100.40.6),Plumbing Trade Supplies:DWV Pipe,14
100506,DWV PIPE 50MM X  6M(100.50.6),Plumbing Trade Supplies:DWV Pipe,20
100656,DWV PIPE 65MM X  6M(100.65.6),Plumbing Trade Supplies:DWV Pipe,35
100806,DWV PIPE 80MM 6M(100.80.6),Plumbing Trade Supplies:DWV Pipe,38
10110005,DWV BEND 100MM X  5 DEG(101.100.05),Plumbing Trade Supplies:DWV Fittings,4
10110015,DWV BEND  100MM X  15 DEG(101.100.15),Plumbing Trade Supplies:DWV Fittings,4
10110030,DWV BEND 100MM X  30 DEG(101.100.30),Plumbing Trade Supplies:DWV Fittings,4
10110045,DWV BEND 100MM X  45 DEG(101.100.45),Plumbing Trade Supplies:DWV Fittings,4
10110088,DWV BEND 100MM X 88 DEG(101.100.88),Plumbing Trade Supplies:DWV Fittings,4
10115045,DWV BEND 150MM X 45DEG(101.150.45),Plumbing Trade Supplies:DWV Fittings,11
10115088,DWV BEND 150MM X 88 DEG(101.150.88),Plumbing Trade Supplies:DWV Fittings,11
1013245,DWV BEND 32MM  X 45 DEG(101.32.45),Plumbing Trade Supplies:DWV Fittings,1
1013246,DWV BEND 32MM  X 45 DEG - WHITE(101.32.45W),Plumbing Trade Supplies:DWV Fittings,0.25
1013288,DWV BEND 32MM X 88 DEG(101.32.88),Plumbing Trade Supplies:DWV Fittings,1
1014015,DWV BEND 40MM X 15 DEG(101.40.15),Plumbing Trade Supplies:DWV Fittings,1
1014045,DWV BEND 40MM X 45 DEG(101.40.45),Plumbing Trade Supplies:DWV Fittings,1
